CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81925567,-25.5516863820233,-49.2689271518567,2,16:13:00,96,82015720,-25.4187128462549,-49.3341400767781,SIM,16:23:00
82015720,-25.4187128462549,-49.3341400767781,2,16:24:00,96,81315685,-25.5115270000027,-49.3255583333193,SIM,16:30:00
81315685,-25.5115270000027,-49.3255583333193,2,16:31:00,96,81870310,-25.524150444185,-49.290210168982,SIM,16:33:00
81870310,-25.524150444185,-49.290210168982,2,16:34:00,96,81490360,-25.5959260714452,-49.3331487620149,SIM,16:40:00
81490360,-25.5959260714452,-49.3331487620149,2,16:41:00,36,80035210,-25.4018593540355,-49.2501065029327,SIM,17:10:00
80035210,-25.4018593540355,-49.2501065029327,2,17:11:00,96,80620340,-25.4540745011999,-49.2732563508827,SIM,17:15:00
80620340,-25.4540745011999,-49.2732563508827,2,17:16:00,96,82220563,-25.3564836666715,-49.2790128333043,SIM,17:22:00
82220563,-25.3564836666715,-49.2790128333043,2,17:23:00,96,81470300,-25.575776177431,-49.3365443994341,SIM,17:39:00
81470300,-25.575776177431,-49.3365443994341,2,17:40:00,96,81590270,-25.4844592157371,-49.203473764438,SIM,17:49:00
81590270,-25.4844592157371,-49.203473764438,2,17:50:00,96,82860400,-25.3861406843164,-49.1978955789077,SIM,17:56:00
82860400,-25.3861406843164,-49.1978955789077,2,17:57:00,36,81490370,-25.5945839118607,-49.3348460297419,SIM,18:49:00
81490370,-25.5945839118607,-49.3348460297419,2,18:50:00,96,81220170,-25.4569440522711,-49.3221956960987,SIM,18:59:00
81220170,-25.4569440522711,-49.3221956960987,3,06:00:00,96,82700540,-25.3703488003616,-49.2570179996848,SIM,06:06:00
82700540,-25.3703488003616,-49.2570179996848,3,06:07:00,96,82510514,-25.4130335000161,-49.2401459999717,SIM,06:10:00
82510514,-25.4130335000161,-49.2401459999717,3,06:11:00,36,81480170,-25.5633003333374,-49.3185828888561,SIM,06:52:00
81480170,-25.5633003333374,-49.3185828888561,3,06:53:00,96,81150120,-25.5170223068465,-49.3040621642926,SIM,06:56:00
81150120,-25.5170223068465,-49.3040621642926,3,06:57:00,96,81940210,-25.5603014782721,-49.2872240368535,SIM,07:00:00
81940210,-25.5603014782721,-49.2872240368535,3,07:01:00,96,80210400,-25.4463780000737,-49.2468984999865,SIM,07:08:00
80210400,-25.4463780000737,-49.2468984999865,3,07:09:00,96,82600750,-25.3958555000045,-49.2162615000035,SIM,07:12:00
82600750,-25.3958555000045,-49.2162615000035,3,07:13:00,96,81350686,-25.4936598469491,-49.3400481020638,SIM,07:25:00
81350686,-25.4936598469491,-49.3400481020638,3,07:26:00,36,82200440,-25.393875587652,-49.2639951894228,SIM,07:42:00
82200440,-25.393875587652,-49.2639951894228,3,07:43:00,96,82020560,-25.401157660715,-49.3241349981993,SIM,07:47:00
82020560,-25.401157660715,-49.3241349981993,3,07:48:00,96,82025060,-25.4094383254911,-49.3098019002186,SIM,07:48:00
82025060,-25.4094383254911,-49.3098019002186,3,07:49:00,96,81330400,-25.488124875843,-49.3264242140685,SIM,07:55:00
81330400,-25.488124875843,-49.3264242140685,3,07:56:00,96,80250085,-25.4428916686675,-49.2805507832172,SIM,07:59:00
80250085,-25.4428916686675,-49.2805507832172,3,08:00:00,96,82315100,-25.4138947234128,-49.3562615743809,SIM,08:05:00
82315100,-25.4138947234128,-49.3562615743809,3,08:06:00,96,82630494,-25.3769201560983,-49.2197021839363,SIM,08:13:00
82630494,-25.3769201560983,-49.2197021839363,3,08:14:00,96,81200400,-25.4338997893551,-49.3437087449233,SIM,08:24:00
